HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
411242.840339, 359285.171235, 288495.037264, 1167735669.920000, 1167735669.920000, 1167735669.920000 
427654.935769, 376490.984985, 303082.144828, 1233048005.120000, 1233048005.120000, 1233048005.120000 
444397.250977, 394232.665461, 318174.297121, 1301062500.000000, 1301062500.000000, 1301062500.000000 
461466.713118, 412516.925293, 333780.511387, 1371852677.120000, 1371852677.120000, 1371852677.120000 
478860.055468, 431350.349030, 349909.774230, 1445493045.920000, 1445493045.920000, 1445493045.920000 
496573.822991, 450739.391455, 366571.039346, 1522059102.720000, 1522059102.720000, 1522059102.720000 
514604.377932, 470690.376003, 383773.225319, 1601627330.720000, 1601627330.720000, 1601627330.720000 
532947.905446, 491209.493278, 401525.213448, 1684275200.000000, 1684275200.000000, 1684275200.000000 
551600.419225, 512302.799658, 419835.845647, 1770081167.520000, 1770081167.520000, 1770081167.520000 
570557.767149, 533976.215999, 438713.922373, 1859124677.120000, 1859124677.120000, 1859124677.120000 
589815.636929, 556235.526426, 458168.200622, 1951486159.520000, 1951486159.520000, 1951486159.520000 
609369.561748, 579086.377211, 478207.391961, 2047247032.320000, 2047247032.320000, 2047247032.320000 
629214.925891, 602534.275737, 498840.160611, 2146489700.000000, 2146489700.000000, 2146489700.000000 
649346.970361, 626584.589548, 520075.121579, 2249297553.920000, 2249297553.920000, 2249297553.920000 
669760.798469, 651242.545479, 541920.838835, 2355754972.320000, 2355754972.320000, 2355754972.320000 
690451.381398, 676513.228863, 564385.823535, 2465947320.320000, 2465947320.320000, 2465947320.320000 
711413.563738, 702401.582817, 587478.532285, 2579960949.920000, 2579960949.920000, 2579960949.920000 
732642.068982, 728912.407607, 611207.365458, 2697883200.000000, 2697883200.000000, 2697883200.000000 
754131.504980, 756050.360081, 635580.665546, 2819802396.320000, 2819802396.320000, 2819802396.320000 
775876.369351, 783819.953178, 660606.715560, 2945807851.520000, 2945807851.520000, 2945807851.520000 
797871.054847, 812225.555500, 686293.737472, 3075989865.120000, 3075989865.120000, 3075989865.120000 
820109.854660, 841271.390963, 712649.890695, 3210439723.520000, 3210439723.520000, 3210439723.520000 
842586.967681, 870961.538502, 739683.270612, 3349249700.000000, 3349249700.000000, 3349249700.000000 
865296.503691, 901299.931849, 767401.907134, 3492513054.720000, 3492513054.720000, 3492513054.720000 
888232.488500, 932290.359370, 795813.763314, 3640324034.720000, 3640324034.720000, 3640324034.720000 
911388.869018, 963936.463963, 824926.733981, 3792777873.920000, 3792777873.920000, 3792777873.920000 
934759.518254, 996241.743017, 854748.644431, 3949970793.120000, 3949970793.120000, 3949970793.120000 
958338.240259, 1029209.548423, 885287.249145, 4112000000.000000, 4112000000.000000, 4112000000.000000 
982118.774983, 1062843.086652, 916550.230549, 4278963689.120000, 4278963689.120000, 4278963689.120000 
1006094.803067, 1097145.418876, 948545.197809, 4450961041.920000, 4450961041.920000, 4450961041.920000 
1030259.950564, 1132119.461145, 981279.685663, 4628092226.719999, 4628092226.719999, 4628092226.719999 
1054607.793573, 1167767.984621, 1014761.153295, 4810458398.720000, 4810458398.720000, 4810458398.720000 
1079131.862804, 1204093.615858, 1048996.983232, 4998161700.000000, 4998161700.000000, 4998161700.000000 
1103825.648059, 1241098.837124, 1083994.480288, 5191305259.520000, 5191305259.520000, 5191305259.520000 
1128682.602631, 1278785.986782, 1119760.870536, 5389993193.120000, 5389993193.120000, 5389993193.120000 
1153696.147632, 1317157.259709, 1156303.300316, 5594330603.520000, 5594330603.520000, 5594330603.520000 
1178859.676220, 1356214.707760, 1193628.835275, 5804423580.320000, 5804423580.320000, 5804423580.320000 
1204166.557763, 1395960.240276, 1231744.459439, 6020379200.000000, 6020379200.000000, 6020379200.000000 
1229610.141901, 1436395.624633, 1270657.074325, 6242305525.919999, 6242305525.919999, 6242305525.919999 
1255183.762537, 1477522.486830, 1310373.498070, 6470311608.320000, 6470311608.320000, 6470311608.320000 
1280880.741735, 1519342.312122, 1350900.464608, 6704507484.320000, 6704507484.320000, 6704507484.320000 
1306694.393533, 1561856.445681, 1392244.622864, 6945004177.920000, 6945004177.920000, 6945004177.920000 
1332618.027676, 1605066.093298, 1434412.535990, 7191913699.999999, 7191913699.999999, 7191913699.999999 
1358644.953255, 1648972.322127, 1477410.680620, 7445349048.320000, 7445349048.320000, 7445349048.320000 
1384768.482263, 1693576.061449, 1521245.446160, 7705424207.520000, 7705424207.520000, 7705424207.520000 
1410981.933071, 1738878.103482, 1565923.134111, 7972254149.120000, 7972254149.120000, 7972254149.120000 
1437278.633804, 1784879.104216, 1611449.957411, 8245954831.520000, 8245954831.520000, 8245954831.520000 
1463651.925647, 1831579.584280, 1657832.039813, 8526643199.999999, 8526643199.999999, 8526643199.999999 
1490095.166052, 1878979.929840, 1705075.415284, 8814437186.719999, 8814437186.719999, 8814437186.719999 
1516601.731868, 1927080.393522, 1753186.027440, 9109455710.719999, 9109455710.719999, 9109455710.719999 
1543165.022380, 1975881.095367, 1802169.728997, 9411818677.920000, 9411818677.920000, 9411818677.920000 
1569778.462267, 2025382.023813, 1852032.281257, 9721646981.119999, 9721646981.119999, 9721646981.119999 
1596435.504477, 2075583.036692, 1902779.353613, 10039062500.000000, 10039062500.000000, 10039062500.000000 
1623129.633011, 2126483.862270, 1954416.523087, 10364188101.119999, 10364188101.119999, 10364188101.119999 
