HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
228947.448035, 181098.478654, 140678.114799, 0.00000000000000000130, 0.00000000000000000488, 0.00000000000000000901 
240885.049190, 192003.431553, 149529.694172, 0.00000000000000000135, 0.00000000000000000504, 0.00000000000000000931 
253172.752977, 203346.292584, 158767.435468, 0.00000000000000000139, 0.00000000000000000521, 0.00000000000000000962 
265810.482784, 215135.236710, 168400.523166, 0.00000000000000000144, 0.00000000000000000538, 0.00000000000000000993 
278797.902883, 227378.342855, 178438.145616, 0.00000000000000000148, 0.00000000000000000555, 0.00000000000000001025 
292134.422681, 240083.590699, 188889.492028, 0.00000000000000000153, 0.00000000000000000572, 0.00000000000000001057 
305819.201156, 253258.857609, 199763.749528, 0.00000000000000000158, 0.00000000000000000590, 0.00000000000000001090 
319851.151439, 266911.915691, 211070.100268, 0.00000000000000000163, 0.00000000000000000608, 0.00000000000000001123 
334228.945557, 281050.428980, 222817.718605, 0.00000000000000000168, 0.00000000000000000626, 0.00000000000000001157 
348951.019299, 295681.950752, 235015.768330, 0.00000000000000000173, 0.00000000000000000645, 0.00000000000000001191 
364015.577205, 310813.920958, 247673.399965, 0.00000000000000000178, 0.00000000000000000664, 0.00000000000000001226 
379420.597667, 326453.663774, 260799.748114, 0.00000000000000000183, 0.00000000000000000683, 0.00000000000000001261 
395163.838123, 342608.385279, 274403.928865, 0.00000000000000000188, 0.00000000000000000702, 0.00000000000000001297 
411242.840339, 359285.171235, 288495.037264, 0.00000000000000000193, 0.00000000000000000722, 0.00000000000000001333 
427654.935769, 376490.984985, 303082.144828, 0.00000000000000000198, 0.00000000000000000742, 0.00000000000000001370 
444397.250977, 394232.665461, 318174.297121, 0.00000000000000000204, 0.00000000000000000762, 0.00000000000000001407 
461466.713118, 412516.925293, 333780.511387, 0.00000000000000000209, 0.00000000000000000782, 0.00000000000000001445 
478860.055468, 431350.349030, 349909.774230, 0.00000000000000000215, 0.00000000000000000803, 0.00000000000000001484 
496573.822991, 450739.391455, 366571.039346, 0.00000000000000000221, 0.00000000000000000824, 0.00000000000000001522 
514604.377932, 470690.376003, 383773.225319, 0.00000000000000000226, 0.00000000000000000845, 0.00000000000000001562 
532947.905446, 491209.493278, 401525.213448, 0.00000000000000000232, 0.00000000000000000867, 0.00000000000000001601 
551600.419225, 512302.799658, 419835.845647, 0.00000000000000000238, 0.00000000000000000889, 0.00000000000000001642 
570557.767149, 533976.215999, 438713.922373, 0.00000000000000000244, 0.00000000000000000911, 0.00000000000000001682 
589815.636929, 556235.526426, 458168.200622, 0.00000000000000000250, 0.00000000000000000933, 0.00000000000000001724 
609369.561748, 579086.377211, 478207.391961, 0.00000000000000000256, 0.00000000000000000956, 0.00000000000000001766 
629214.925891, 602534.275737, 498840.160611, 0.00000000000000000262, 0.00000000000000000979, 0.00000000000000001808 
649346.970361, 626584.589548, 520075.121579, 0.00000000000000000268, 0.00000000000000001002, 0.00000000000000001851 
669760.798469, 651242.545479, 541920.838835, 0.00000000000000000274, 0.00000000000000001025, 0.00000000000000001894 
690451.381398, 676513.228863, 564385.823535, 0.00000000000000000281, 0.00000000000000001049, 0.00000000000000001938 
711413.563738, 702401.582817, 587478.532285, 0.00000000000000000287, 0.00000000000000001073, 0.00000000000000001982 
732642.068982, 728912.407607, 611207.365458, 0.00000000000000000294, 0.00000000000000001097, 0.00000000000000002027 
754131.504980, 756050.360081, 635580.665546, 0.00000000000000000300, 0.00000000000000001122, 0.00000000000000002072 
775876.369351, 783819.953178, 660606.715560, 0.00000000000000000307, 0.00000000000000001146, 0.00000000000000002118 
797871.054847, 812225.555500, 686293.737472, 0.00000000000000000314, 0.00000000000000001171, 0.00000000000000002164 
820109.854660, 841271.390963, 712649.890695, 0.00000000000000000320, 0.00000000000000001197, 0.00000000000000002211 
842586.967681, 870961.538502, 739683.270612, 0.00000000000000000327, 0.00000000000000001222, 0.00000000000000002258 
865296.503691, 901299.931849, 767401.907134, 0.00000000000000000334, 0.00000000000000001248, 0.00000000000000002306 
888232.488500, 932290.359370, 795813.763314, 0.00000000000000000341, 0.00000000000000001274, 0.00000000000000002354 
911388.869018, 963936.463963, 824926.733981, 0.00000000000000000348, 0.00000000000000001301, 0.00000000000000002403 
934759.518254, 996241.743017, 854748.644431, 0.00000000000000000355, 0.00000000000000001327, 0.00000000000000002452 
958338.240259, 1029209.548423, 885287.249145, 0.00000000000000000362, 0.00000000000000001354, 0.00000000000000002502 
982118.774983, 1062843.086652, 916550.230549, 0.00000000000000000370, 0.00000000000000001382, 0.00000000000000002552 
1006094.803067, 1097145.418876, 948545.197809, 0.00000000000000000377, 0.00000000000000001409, 0.00000000000000002603 
1030259.950564, 1132119.461145, 981279.685663, 0.00000000000000000385, 0.00000000000000001437, 0.00000000000000002655 
1054607.793573, 1167767.984621, 1014761.153295, 0.00000000000000000392, 0.00000000000000001465, 0.00000000000000002706 
1079131.862804, 1204093.615858, 1048996.983232, 0.00000000000000000400, 0.00000000000000001493, 0.00000000000000002759 
1103825.648059, 1241098.837124, 1083994.480288, 0.00000000000000000407, 0.00000000000000001522, 0.00000000000000002811 
1128682.602631, 1278785.986782, 1119760.870536, 0.00000000000000000415, 0.00000000000000001551, 0.00000000000000002865 
1153696.147632, 1317157.259709, 1156303.300316, 0.00000000000000000423, 0.00000000000000001580, 0.00000000000000002919 
1178859.676220, 1356214.707760, 1193628.835275, 0.00000000000000000431, 0.00000000000000001609, 0.00000000000000002973 
1204166.557763, 1395960.240276, 1231744.459439, 0.00000000000000000439, 0.00000000000000001639, 0.00000000000000003028 
1229610.141901, 1436395.624633, 1270657.074325, 0.00000000000000000447, 0.00000000000000001669, 0.00000000000000003083 
1255183.762537, 1477522.486830, 1310373.498070, 0.00000000000000000455, 0.00000000000000001699, 0.00000000000000003139 
1280880.741735, 1519342.312122, 1350900.464608, 0.00000000000000000463, 0.00000000000000001729, 0.00000000000000003195 
1306694.393533, 1561856.445681, 1392244.622864, 0.00000000000000000471, 0.00000000000000001760, 0.00000000000000003252 
1332618.027676, 1605066.093298, 1434412.535990, 0.00000000000000000479, 0.00000000000000001791, 0.00000000000000003309 
1358644.953255, 1648972.322127, 1477410.680620, 0.00000000000000000488, 0.00000000000000001822, 0.00000000000000003367 
1384768.482263, 1693576.061449, 1521245.446160, 0.00000000000000000496, 0.00000000000000001854, 0.00000000000000003425 
1410981.933071, 1738878.103482, 1565923.134111, 0.00000000000000000505, 0.00000000000000001886, 0.00000000000000003484 
1437278.633804, 1784879.104216, 1611449.957411, 0.00000000000000000513, 0.00000000000000001918, 0.00000000000000003543 
1463651.925647, 1831579.584280, 1657832.039813, 0.00000000000000000522, 0.00000000000000001950, 0.00000000000000003603 
1490095.166052, 1878979.929840, 1705075.415284, 0.00000000000000000531, 0.00000000000000001983, 0.00000000000000003663 
1516601.731868, 1927080.393522, 1753186.027440, 0.00000000000000000540, 0.00000000000000002016, 0.00000000000000003724 
1543165.022380, 1975881.095367, 1802169.728997, 0.00000000000000000548, 0.00000000000000002049, 0.00000000000000003786 
1569778.462267, 2025382.023813, 1852032.281257, 0.00000000000000000557, 0.00000000000000002083, 0.00000000000000003847 
1596435.504477, 2075583.036692, 1902779.353613, 0.00000000000000000566, 0.00000000000000002116, 0.00000000000000003910 
1623129.633011, 2126483.862270, 1954416.523087, 0.00000000000000000575, 0.00000000000000002150, 0.00000000000000003972 
1649854.365633, 2178084.100291, 2006949.273884, 0.00000000000000000585, 0.00000000000000002184, 0.00000000000000004036 
1676603.256487, 2230383.223060, 2060382.996980, 0.00000000000000000594, 0.00000000000000002219, 0.00000000000000004100 
1703369.898644, 2283380.576536, 2114722.989726, 0.00000000000000000603, 0.00000000000000002254, 0.00000000000000004164 
1730147.926557, 2337075.381450, 2169974.455477, 0.00000000000000000613, 0.00000000000000002289, 0.00000000000000004229 
1756931.018441, 2391466.734449, 2226142.503253, 0.00000000000000000622, 0.00000000000000002324, 0.00000000000000004294 
1783712.898572, 2446553.609246, 2283232.147411, 0.00000000000000000632, 0.00000000000000002360, 0.00000000000000004360 
1810487.339505, 2502334.857801, 2341248.307346, 0.00000000000000000641, 0.00000000000000002396, 0.00000000000000004426 
1837248.164220, 2558809.211511, 2400195.807214, 0.00000000000000000651, 0.00000000000000002432, 0.00000000000000004493 
1863989.248182, 2615975.282423, 2460079.375673, 0.00000000000000000661, 0.00000000000000002468, 0.00000000000000004560 
1890704.521331, 2673831.564456, 2520903.645653, 0.00000000000000000670, 0.00000000000000002505, 0.00000000000000004628 
1917387.969996, 2732376.434643, 2582673.154139, 0.00000000000000000680, 0.00000000000000002542, 0.00000000000000004696 
1944033.638729, 2791608.154389, 2645392.341976, 0.00000000000000000690, 0.00000000000000002579, 0.00000000000000004765 
1970635.632074, 2851524.870734, 2709065.553700, 0.00000000000000000700, 0.00000000000000002617, 0.00000000000000004834 
1997188.116257, 2912124.617639, 2773697.037383, 0.00000000000000000710, 0.00000000000000002655, 0.00000000000000004904 
2023685.320806, 2973405.317276, 2839290.944500, 0.00000000000000000721, 0.00000000000000002693, 0.00000000000000004975 
2050121.540103, 3035364.781336, 2905851.329816, 0.00000000000000000731, 0.00000000000000002731, 0.00000000000000005045 
2076491.134862, 3098000.712344, 2973382.151288, 0.00000000000000000741, 0.00000000000000002770, 0.00000000000000005117 
2102788.533544, 3161310.704983, 3041887.269990, 0.00000000000000000752, 0.00000000000000002808, 0.00000000000000005188 
2129008.233703, 3225292.247434, 3111370.450055, 0.00000000000000000762, 0.00000000000000002848, 0.00000000000000005261 
2155144.803260, 3289942.722714, 3181835.358635, 0.00000000000000000773, 0.00000000000000002887, 0.00000000000000005334 
2181192.881722, 3355259.410033, 3253285.565875, 0.00000000000000000783, 0.00000000000000002927, 0.00000000000000005407 
2207147.181329, 3421239.486153, 3325724.544910, 0.00000000000000000794, 0.00000000000000002967, 0.00000000000000005481 
2233002.488143, 3487880.026755, 3399155.671874, 0.00000000000000000805, 0.00000000000000003007, 0.00000000000000005555 
2258753.663072, 3555178.007814, 3473582.225928, 0.00000000000000000816, 0.00000000000000003047, 0.00000000000000005630 
2284395.642835, 3623130.306975, 3549007.389307, 0.00000000000000000826, 0.00000000000000003088, 0.00000000000000005705 
2309923.440869, 3691733.704943, 3625434.247376, 0.00000000000000000837, 0.00000000000000003129, 0.00000000000000005781 
2335332.148171, 3760984.886869, 3702865.788705, 0.00000000000000000849, 0.00000000000000003170, 0.00000000000000005857 
2360616.934096, 3830880.443746, 3781304.905166, 0.00000000000000000860, 0.00000000000000003212, 0.00000000000000005934 
2385773.047083, 3901416.873807, 3860754.392030, 0.00000000000000000871, 0.00000000000000003254, 0.00000000000000006011 
2410795.815337, 3972590.583924, 3941216.948097, 0.00000000000000000882, 0.00000000000000003296, 0.00000000000000006089 
2435680.647453, 4044397.891018, 4022695.175823, 0.00000000000000000893, 0.00000000000000003338, 0.00000000000000006168 
2460423.032993, 4116835.023457, 4105191.581475, 0.00000000000000000905, 0.00000000000000003381, 0.00000000000000006246 
2485018.542998, 4189898.122473, 4188708.575292, 0.00000000000000000916, 0.00000000000000003424, 0.00000000000000006326 
2509462.830467, 4263583.243565, 4273248.471662, 0.00000000000000000928, 0.00000000000000003467, 0.00000000000000006406 
2533751.630772, 4337886.357916, 4358813.489314, 0.00000000000000000940, 0.00000000000000003511, 0.00000000000000006486 
2557880.762035, 4412803.353800, 4445405.751518, 0.00000000000000000951, 0.00000000000000003554, 0.00000000000000006567 
2581846.125451, 4488330.037994, 4533027.286305, 0.00000000000000000963, 0.00000000000000003598, 0.00000000000000006648 
2605643.705569, 4564462.137194, 4621680.026694, 0.00000000000000000975, 0.00000000000000003643, 0.00000000000000006730 
2629269.570529, 4641195.299421, 4711365.810932, 0.00000000000000000987, 0.00000000000000003687, 0.00000000000000006812 
2652719.872248, 4718525.095434, 4802086.382748, 0.00000000000000000999, 0.00000000000000003732, 0.00000000000000006895 
2675990.846577, 4796447.020136, 4893843.391622, 0.00000000000000001011, 0.00000000000000003777, 0.00000000000000006978 
2699078.813397, 4874956.493983, 4986638.393052, 0.00000000000000001023, 0.00000000000000003823, 0.00000000000000007062 
2721980.176697, 4954048.864390, 5080472.848853, 0.00000000000000001035, 0.00000000000000003868, 0.00000000000000007146 
2744691.424592, 5033719.407130, 5175348.127445, 0.00000000000000001048, 0.00000000000000003914, 0.00000000000000007231 
2767209.129316, 5113963.327734, 5271265.504172, 0.00000000000000001060, 0.00000000000000003960, 0.00000000000000007317 
2789529.947171, 5194775.762891, 5368226.161616, 0.00000000000000001072, 0.00000000000000004007, 0.00000000000000007402 
2811650.618444, 5276151.781839, 5466231.189930, 0.00000000000000001085, 0.00000000000000004054, 0.00000000000000007489 
2833567.967284, 5358086.387753, 5565281.587177, 0.00000000000000001097, 0.00000000000000004101, 0.00000000000000007576 
2855278.901549, 5440574.519133, 5665378.259683, 0.00000000000000001110, 0.00000000000000004148, 0.00000000000000007663 
2876780.412616, 5523611.051186, 5766522.022395, 0.00000000000000001123, 0.00000000000000004195, 0.00000000000000007751 
2898069.575160, 5607190.797197, 5868713.599251, 0.00000000000000001136, 0.00000000000000004243, 0.00000000000000007839 
2919143.546903, 5691308.509908, 5971953.623558, 0.00000000000000001148, 0.00000000000000004291, 0.00000000000000007928 
2939999.568332, 5775958.882881, 6076242.638383, 0.00000000000000001161, 0.00000000000000004340, 0.00000000000000008017 
2960634.962384, 5861136.551858, 6181581.096946, 0.00000000000000001174, 0.00000000000000004388, 0.00000000000000008107 
2981047.134109, 5946836.096122, 6287969.363025, 0.00000000000000001188, 0.00000000000000004437, 0.00000000000000008197 
3001233.570297, 6033052.039840, 6395407.711373, 0.00000000000000001201, 0.00000000000000004486, 0.00000000000000008288 
3021191.839086, 6119778.853413, 6503896.328136, 0.00000000000000001214, 0.00000000000000004536, 0.00000000000000008379 
3040919.589543, 6207010.954810, 6613435.311284, 0.00000000000000001227, 0.00000000000000004585, 0.00000000000000008471 
3060414.551210, 6294742.710900, 6724024.671049, 0.00000000000000001241, 0.00000000000000004635, 0.00000000000000008564 
3079674.533645, 6382968.438776, 6835664.330367, 0.00000000000000001254, 0.00000000000000004686, 0.00000000000000008656 
3098697.425917, 6471682.407075, 6948354.125335, 0.00000000000000001268, 0.00000000000000004736, 0.00000000000000008750 
3117481.196099, 6560878.837283, 7062093.805667, 0.00000000000000001281, 0.00000000000000004787, 0.00000000000000008844 
3136023.890727, 6650551.905043, 7176883.035160, 0.00000000000000001295, 0.00000000000000004838, 0.00000000000000008938 
3154323.634242, 6740695.741446, 7292721.392169, 0.00000000000000001309, 0.00000000000000004889, 0.00000000000000009033 
3172378.628412, 6831304.434324, 7409608.370086, 0.00000000000000001322, 0.00000000000000004941, 0.00000000000000009128 
3190187.151733, 6922372.029525, 7527543.377828, 0.00000000000000001336, 0.00000000000000004993, 0.00000000000000009224 
3207747.558819, 7013892.532186, 7646525.740326, 0.00000000000000001350, 0.00000000000000005045, 0.00000000000000009320 
3225058.279761, 7105859.908000, 7766554.699027, 0.00000000000000001364, 0.00000000000000005097, 0.00000000000000009417 
3242117.819481, 7198268.084466, 7887629.412395, 0.00000000000000001378, 0.00000000000000005150, 0.00000000000000009514 
3258924.757065, 7291110.952141, 8009748.956427, 0.00000000000000001392, 0.00000000000000005203, 0.00000000000000009612 
3275477.745082, 7384382.365873, 8132912.325162, 0.00000000000000001407, 0.00000000000000005256, 0.00000000000000009711 
3291775.508886, 7478076.146036, 8257118.431206, 0.00000000000000001421, 0.00000000000000005310, 0.00000000000000009809 
3307816.845904, 7572186.079746, 8382366.106259, 0.00000000000000001435, 0.00000000000000005364, 0.00000000000000009909 
3323600.624915, 7666705.922075, 8508654.101646, 0.00000000000000001450, 0.00000000000000005418, 0.00000000000000010009 
3339125.785312, 7761629.397253, 8635981.088850, 0.00000000000000001464, 0.00000000000000005472, 0.00000000000000010109 
3354391.336352, 7856950.199861, 8764345.660060, 0.00000000000000001479, 0.00000000000000005526, 0.00000000000000010210 
3369396.356399, 7952661.996013, 8893746.328712, 0.00000000000000001494, 0.00000000000000005581, 0.00000000000000010311 
3384139.992150, 8048758.424535, 9024181.530038, 0.00000000000000001508, 0.00000000000000005636, 0.00000000000000010413 
3398621.457854, 8145233.098126, 9155649.621627, 0.00000000000000001523, 0.00000000000000005692, 0.00000000000000010515 
3412840.034524, 8242079.604511, 9288148.883977, 0.00000000000000001538, 0.00000000000000005748, 0.00000000000000010618 
3426795.069135, 8339291.507594, 9421677.521064, 0.00000000000000001553, 0.00000000000000005803, 0.00000000000000010721 
3440485.973816, 8436862.348585, 9556233.660902, 0.00000000000000001568, 0.00000000000000005860, 0.00000000000000010825 
3453912.225037, 8534785.647133, 9691815.356120, 0.00000000000000001583, 0.00000000000000005916, 0.00000000000000010930 
3467073.362782, 8633054.902434, 9828420.584531, 0.00000000000000001599, 0.00000000000000005973, 0.00000000000000011034 
3479968.989722, 8731663.594344, 9966047.249713, 0.00000000000000001614, 0.00000000000000006030, 0.00000000000000011140 
3492598.770378, 8830605.184469, 10104693.181588, 0.00000000000000001629, 0.00000000000000006087, 0.00000000000000011246 
3504962.430279, 8929873.117252, 10244356.137008, 0.00000000000000001645, 0.00000000000000006145, 0.00000000000000011352 
3517059.755115, 9029460.821051, 10385033.800338, 0.00000000000000001660, 0.00000000000000006203, 0.00000000000000011459 
3528890.589888, 9129361.709198, 10526723.784052, 0.00000000000000001676, 0.00000000000000006261, 0.00000000000000011566 
3540454.838051, 9229569.181055, 10669423.629319, 0.00000000000000001691, 0.00000000000000006319, 0.00000000000000011674 
3551752.460653, 9330076.623062, 10813130.806606, 0.00000000000000001707, 0.00000000000000006378, 0.00000000000000011782 
3562783.475474, 9430877.409763, 10957842.716269, 0.00000000000000001723, 0.00000000000000006437, 0.00000000000000011891 
3573547.956160, 9531964.904838, 11103556.689160, 0.00000000000000001738, 0.00000000000000006496, 0.00000000000000012001 
3584046.031355, 9633332.462104, 11250269.987223, 0.00000000000000001754, 0.00000000000000006555, 0.00000000000000012110 
3594277.883828, 9734973.426528, 11397979.804107, 0.00000000000000001770, 0.00000000000000006615, 0.00000000000000012221 
3604243.749605, 9836881.135209, 11546683.265766, 0.00000000000000001786, 0.00000000000000006675, 0.00000000000000012332 
3613943.917096, 9939048.918365, 11696377.431073, 0.00000000000000001803, 0.00000000000000006735, 0.00000000000000012443 
